101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.157000		0.080000		82.737027
0.158000		0.080000		84.445910
0.159000		0.080000		86.192609
0.160000		0.080000		87.977724
0.161000		0.080000		89.801851
0.162000		0.080000		91.665588
0.163000		0.080000		93.569532
0.164000		0.080000		95.514279
0.165000		0.080000		97.500425
0.166000		0.080000		99.528562
0.167000		0.080000		101.599283
0.168000		0.080000		103.713180
0.169000		0.080000		105.870840
0.170000		0.080000		108.072849
0.171000		0.080000		110.319794
0.172000		0.080000		112.612254
0.173000		0.080000		114.950809
0.174000		0.080000		117.336036
0.175000		0.080000		119.768507
0.176000		0.080000		122.248791
0.177000		0.080000		124.777455
0.178000		0.080000		127.355062
0.179000		0.080000		129.982168
0.180000		0.080000		132.659330
0.181000		0.080000		135.387096
0.182000		0.080000		138.166012
0.183000		0.080000		140.996620
0.184000		0.080000		143.879454
0.185000		0.080000		146.815047
0.186000		0.080000		149.803924
0.187000		0.080000		152.846605
0.188000		0.080000		155.943606
0.189000		0.080000		159.095436
0.190000		0.080000		162.302599
0.191000		0.080000		165.565592
0.192000		0.080000		168.884908
0.193000		0.080000		172.261031
0.194000		0.080000		175.694440
0.195000		0.080000		179.185609
0.196000		0.080000		182.735003
0.197000		0.080000		186.343081
0.198000		0.080000		190.010296
0.199000		0.080000		193.737094
0.200000		0.080000		197.523912
0.100000		0.090000		29.508122
0.101000		0.090000		29.966897
0.102000		0.090000		30.434837
0.103000		0.090000		30.912312
0.104000		0.090000		31.399698
0.105000		0.090000		31.897377
0.106000		0.090000		32.405734
