101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.160000		0.080000		38.293810
0.161000		0.080000		39.050305
0.162000		0.080000		39.818505
0.163000		0.080000		40.598551
0.164000		0.080000		41.390584
0.165000		0.080000		42.194744
0.166000		0.080000		43.011167
0.167000		0.080000		43.839989
0.168000		0.080000		44.681342
0.169000		0.080000		45.535359
0.170000		0.080000		46.402168
0.171000		0.080000		47.281895
0.172000		0.080000		48.174665
0.173000		0.080000		49.080599
0.174000		0.080000		49.999817
0.175000		0.080000		50.932435
0.176000		0.080000		51.878567
0.177000		0.080000		52.838323
0.178000		0.080000		53.811812
0.179000		0.080000		54.799138
0.180000		0.080000		55.800403
0.181000		0.080000		56.815707
0.182000		0.080000		57.845144
0.183000		0.080000		58.888808
0.184000		0.080000		59.946788
0.185000		0.080000		61.019169
0.186000		0.080000		62.106035
0.187000		0.080000		63.207464
0.188000		0.080000		64.323532
0.189000		0.080000		65.454312
0.190000		0.080000		66.599873
0.191000		0.080000		67.760279
0.192000		0.080000		68.935593
0.193000		0.080000		70.125872
0.194000		0.080000		71.331172
0.195000		0.080000		72.551543
0.196000		0.080000		73.787034
0.197000		0.080000		75.037686
0.198000		0.080000		76.303542
0.199000		0.080000		77.584637
0.200000		0.080000		78.881004
0.100000		0.090000		9.094656
0.101000		0.090000		9.381209
0.102000		0.090000		9.673369
0.103000		0.090000		9.971154
0.104000		0.090000		10.274584
0.105000		0.090000		10.583680
