100
100
T [fm^-1]		muB [fm^-1]		betabulk_dfce [fm^-4]
0.803030		0.137374		-1.403484
0.805455		0.137374		-1.449360
0.807879		0.137374		-1.496550
0.810303		0.137374		-1.545085
0.812727		0.137374		-1.594999
0.815152		0.137374		-1.646325
0.817576		0.137374		-1.699098
0.820000		0.137374		-1.753350
0.580000		0.164848		-0.036500
0.582424		0.164848		-0.038376
0.584848		0.164848		-0.040335
0.587273		0.164848		-0.042379
0.589697		0.164848		-0.044512
0.592121		0.164848		-0.046737
0.594545		0.164848		-0.049058
0.596970		0.164848		-0.051479
0.599394		0.164848		-0.054002
0.601818		0.164848		-0.056631
0.604242		0.164848		-0.059372
0.606667		0.164848		-0.062226
0.609091		0.164848		-0.065200
0.611515		0.164848		-0.068296
0.613939		0.164848		-0.071520
0.616364		0.164848		-0.074876
0.618788		0.164848		-0.078368
0.621212		0.164848		-0.082002
0.623636		0.164848		-0.085783
0.626061		0.164848		-0.089714
0.628485		0.164848		-0.093803
0.630909		0.164848		-0.098054
0.633333		0.164848		-0.102472
0.635758		0.164848		-0.107064
0.638182		0.164848		-0.111836
0.640606		0.164848		-0.116793
0.643030		0.164848		-0.121942
0.645455		0.164848		-0.127289
0.647879		0.164848		-0.132841
0.650303		0.164848		-0.138605
0.652727		0.164848		-0.144588
0.655152		0.164848		-0.150796
0.657576		0.164848		-0.157238
0.660000		0.164848		-0.163921
0.662424		0.164848		-0.170853
0.664848		0.164848		-0.178041
0.667273		0.164848		-0.185495
0.669697		0.164848		-0.193222
0.672121		0.164848		-0.201231
0.674545		0.164848		-0.209532
0.676970		0.164848		-0.218133
0.679394		0.164848		-0.227044
0.681818		0.164848		-0.236275
0.684242		0.164848		-0.245835
0.686667		0.164848		-0.255734
0.689091		0.164848		-0.265984
0.691515		0.164848		-0.276595
0.693939		0.164848		-0.287578
0.696364		0.164848		-0.298944
0.698788		0.164848		-0.310704
0.701212		0.164848		-0.322872
0.703636		0.164848		-0.335458
0.706061		0.164848		-0.348475
0.708485		0.164848		-0.361937
0.710909		0.164848		-0.375856
0.713333		0.164848		-0.390245
0.715758		0.164848		-0.405119
0.718182		0.164848		-0.420491
0.720606		0.164848		-0.436377
0.723030		0.164848		-0.452790
0.725455		0.164848		-0.469746
0.727879		0.164848		-0.487260
0.730303		0.164848		-0.505349
0.732727		0.164848		-0.524028
0.735152		0.164848		-0.543314
0.737576		0.164848		-0.563225
0.740000		0.164848		-0.583777
0.742424		0.164848		-0.604988
0.744848		0.164848		-0.626877
0.747273		0.164848		-0.649462
0.749697		0.164848		-0.672763
0.752121		0.164848		-0.696798
0.754545		0.164848		-0.721588
0.756970		0.164848		-0.747153
0.759394		0.164848		-0.773514
0.761818		0.164848		-0.800692
0.764242		0.164848		-0.828709
0.766667		0.164848		-0.857588
0.769091		0.164848		-0.887350
0.771515		0.164848		-0.918020
0.773939		0.164848		-0.949620
0.776364		0.164848		-0.982175
0.778788		0.164848		-1.015710
0.781212		0.164848		-1.050251
0.783636		0.164848		-1.085821
0.786061		0.164848		-1.122450
0.788485		0.164848		-1.160162
0.790909		0.164848		-1.198985
